id,output
460,(ORDER can you arrange (PIZZAORDER (NUMBER a ) (SIZE medium-size ) pizza with low fat (TOPPING cheese ) on it (TOPPING and ) prosciutto (TOPPING too ) but hold the (NOT (STYLE ham ) ) ) )
461,(ORDER (PIZZAORDER good afternoon cani (NOT (TOPPING please ) have a medum-size mushroom (NUMBER and ) (SIZE chicken ) pizza with no more cheese ) ) )
462,(ORDER can i chose (PIZZAORDER (NUMBER a ) (SIZE medium-sized ) pie with chad and (TOPPING ham ) but without mushrooms (NOT (TOPPING in ) it ) ) )
463,(ORDER (PIZZAORDER i'll try he a med (TOPPING duck ) (TOPPING and ) italian sausage (TOPPING pizza ) with no onions ) )
464,(ORDER (PIZZAORDER let's goahead (NUMBER with ) (STYLE one ) med pie with (TOPPING green ) olives tomaoes but please do not add any ham ) )
465,(ORDER oki want (PIZZAORDER (NUMBER a ) (STYLE stuff ) crust caramelized onions pizza with no (NOT (TOPPING tomatoes ) ) ) )
466,(ORDER i'd lke (PIZZAORDER to put in an order for eleven meatball (NUMBER and ) red cabbage (TOPPING pizzas ) without bbq (NOT (TOPPING chicken ) on them ) ) )
467,(ORDER let me finalize (PIZZAORDER with 1 pizza with balsamic glaze on it also i want sun-dried tomatoes but i don't care for peppers that's all ) )
468,(ORDER (PIZZAORDER (NUMBER for ) this afternoon i (TOPPING only ) want a (TOPPING med ) pizza with (TOPPING peppers ) and (TOPPING chorizo ) but i don't want any pepperoni ) )
469,(ORDER (PIZZAORDER place my (TOPPING orde ) for a (NUMBER smll ) pizza with blackolive (TOPPING on ) it and mushrooms (TOPPING please ) make sure there is no extra cheese that's all ) )
470,(ORDER i jst (PIZZAORDER need (NUMBER ten ) pizzas with (TOPPING banana ) peppers pickled onions and (TOPPING hot ) peppers please ) )
471,(ORDER i d like (PIZZAORDER to get (TOPPING a ) banana pepper and (TOPPING tomatoe ) sauce pizza and (STYLE i ) do not (QUANTITY want ) (SIZE the ) all the veggies ) )
472,(ORDER (PIZZAORDER (NUMBER could ) you get (NUMBER me ) (NUMBER one ) pizza with (TOPPING duck ) and (TOPPING ligh ) on black olive but (TOPPING i ) do not want pickled onions on it ) )
473,(ORDER i'll o (PIZZAORDER (NUMBER with ) (STYLE a ) large (QUANTITY pizza ) with broccoli and (TOPPING olives ) and without (QUANTITY any ) extra green pepper please ) )
474,(ORDER (PIZZAORDER i'd like (NUMBER to ) try a large (NUMBER pizza ) (SIZE with ) hummus and (TOPPING pickld ) onions (TOPPING and ) no little cheese ) )
475,(ORDER (PIZZAORDER could you (NOT (TOPPING put ) in (NUMBER a ) (SIZE medium-sied ) salami and sauteed (TOPPING spinach ) pizza without (TOPPING mushroom ) ) ) )
476,(ORDER (PIZZAORDER my order today (TOPPING is ) for (TOPPING a ) sun-dried tomatoes little oregano (TOPPING and ) jalepeno peppers pie ) )
477,(ORDER (PIZZAORDER sort me out with one (QUANTITY extralarge ) (TOPPING pie ) along with bbq (TOPPING sauce ) basil but hold tuna ) )
478,(ORDER (PIZZAORDER let's go with (TOPPING a ) personal (QUANTITY pizza ) and (TOPPING i ) want extra roasted (QUANTITY tomatoes ) (TOPPING and ) lettuce but no pickles thanks ) )
479,(ORDER (PIZZAORDER please arrange to get (NUMBER a ) (SIZE small ) pizza with (TOPPING anchovies ) and (TOPPING roasted ) eggplant but i also need two coffees to go with it ) )
480,(ORDER (PIZZAORDER hi how are (NUMBER you ) okay today i'd like (NUMBER to ) (DRINKTYPE order ) twelve (NUMBER extra ) (SIZE large ) pepsis ) )
481,(ORDER (PIZZAORDER let'sarrange for (NUMBER a ) pizza with banana (NUMBER peppers ) and artichokes (TOPPING but ) no cheese ) )
482,(ORDER can i try (PIZZAORDER (NUMBER 1 ) (SIZE large ) pizza with (TOPPING chard ) canadian bacon (TOPPING and ) back olives ) )
483,(ORDER repeat my (PIZZAORDER (NUMBER a ) (SIZE large-ize ) (TOPPING prosciutto ) and hummus (NOT (TOPPING pie ) on (NUMBER big ) meat ) ) )
484,(ORDER (PIZZAORDER i'd like (NUMBER to ) stick with (TOPPING a ) small (QUANTITY pizza ) along with parmesan (TOPPING and ) pepperoni (TOPPING and ) some double cheese ) )
485,(ORDER (PIZZAORDER (NUMBER 1 ) pizza and (NUMBER please ) make it (TOPPING with ) oregano cumin (TOPPING and ) pepperoni ) )
486,(ORDER help me get (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza with (TOPPING yellow ) peppers ) )
487,(ORDER i' like 14 (DRINKORDER (DRINKTYPE pepsis ) six (NUMBER xl ) (NUMBER doctor ) peppers and five (NUMBER xl ) (DRINKTYPE diet cokes ) ) )
488,(ORDER i need (PIZZAORDER (NUMBER a ) (STYLE order ) of a (TOPPING xl ) pineapple pie with (TOPPING light ) on cheese no pesto though ) )
489,(ORDER can ou arrange (PIZZAORDER (NUMBER 1 ) pizza with (TOPPING hot ) peppers (TOPPING tuna ) and (TOPPING sausage ) thanks ) )
490,(ORDER i think (PIZZAORDER i'll (NUMBER just ) have (NOT (TOPPING five ) medium-sizd sriracha (NUMBER sauce ) (SIZE and ) sauteed spinach pizzas and two medium-sizd (NUMBER pizzas ) with sauteed spinach (NUMBER and ) (VOLUME mushrooms ) ) ) )
491,(ORDER i feel (PIZZAORDER (NUMBER like ) ordring (TOPPING a ) small (NUMBER pizza ) (SIZE with ) parmesan and (TOPPING carrots ) with (TOPPING a ) drizle (NUMBER basil ) on the top ) )
492,(ORDER (PIZZAORDER (NUMBER eight ) (SIZE medium-sized ) pizzas with carrots garlic (TOPPING and ) ham ) )
493,(ORDER i want (PIZZAORDER to (NUMBER get ) (SIZE a ) medium-sized mushrooms (TOPPING and ) cheddar cheese (TOPPING pie ) with no onions please ) )
494,(ORDER i'll go (PIZZAORDER (NUMBER for ) 10 pizzas all (TOPPING with ) black (TOPPING beans ) low fat cheese and pesto please ) )
495,(ORDER i (PIZZAORDER guess i'll get (NOT (TOPPING a ) medium-size (NUMBER pie ) (SIZE added ) with pepperonis and somes (TOPPING mushrooms ) pan ) ) )
496,(ORDER i would (PIZZAORDER (NUMBER like ) to out in an order (NUMBER for ) (DRINKTYPE one ice ) teas (NUMBER and ) (NUMBER six ) (DRINKTYPE fantas ) with mdium-size (SIZE diet ) sprite ) )
497,(ORDER i eed (PIZZAORDER (NUMBER a ) (STYLE lage-size ) (STYLE stuffed ) crust pizza (QUANTITY with ) (TOPPING all ) the meats (QUANTITY and ) (TOPPING a ) large ginger (NUMBER ale ) ) )
498,(ORDER i would like (PIZZAORDER to try the a (SIZE extra ) large pepper and (TOPPING pickled ) onions pie no (QUANTITY little ) cheese ) )
499,(ORDER (PIZZAORDER hello my order (TOPPING is ) for (NUMBER a ) pie with (TOPPING duck ) gorgonzola and no (NOT (TOPPING tuna ) please ) ) )
500,(ORDER my (PIZZAORDER order (TOPPING is ) for (NUMBER a ) (SIZE large ) pizza with (TOPPING chorizo ) and (TOPPING pickled ) onions do (NUMBER not ) (QUANTITY use ) ligt (TOPPING caramelized ) onions ) )
501,(ORDER (PIZZAORDER i'm going to (NUMBER order ) a pie (NUMBER with ) thin crust (QUANTITY and ) a bunch of buffalo (TOPPING sauce ) but hold truffle oil please ) )
502,(ORDER can you give (PIZZAORDER me (NUMBER a ) (SIZE medium-sized ) high-rise and sprinkle it (TOPPING with ) red onion ) )
503,(ORDER (PIZZAORDER i'll go ahead (NUMBER and ) order a (TOPPING med ) pie (TOPPING along ) with red onions (TOPPING and ) feta cheese (TOPPING but ) avoid ham ) )
504,(ORDER (PIZZAORDER (NUMBER set ) me up with 1 (QUANTITY mediumsize ) (TOPPING olive ) and pepperonis (TOPPING pizza ) with no pineapple (NOT (TOPPING please ) ) ) )
505,(ORDER i'm leaning (PIZZAORDER (NUMBER towrd ) two personal pizzas (NUMBER with ) (TOPPING gluten-free ) crust but green bell peppers and picles and a large pizza with mushrooms and sausage ) )
506,(ORDER (PIZZAORDER ineed to order a (TOPPING sausage ) (TOPPING and ) pesto (TOPPING pizza ) without the pan ) )
507,(ORDER would like (PIZZAORDER (NUMBER 9 ) (SIZE personal ) size pizzas ) )
508,(ORDER (PIZZAORDER (NUMBER make ) sure to get me (NUMBER 1 ) (SIZE medium ) (TOPPING banana ) pepper pizza and (NUMBER two ) (SIZE small ) (DRINKTYPE pizza ) and also (NUMBER two ) (DRINKTYPE almond ) milk ) )
509,(ORDER (PIZZAORDER (NUMBER how ) about you get me (SIZE a ) pie with (QUANTITY large ) size along (TOPPING with ) tuna and oregano without caers ) )
510,(ORDER (PIZZAORDER i'll go ahead and order a (TOPPING mediu-sized ) pizza (TOPPING with ) mushrooms and bacon pepperoni ) )
511,(ORDER (PIZZAORDER (NUMBER six ) (SIZE small ) smoked salmon (TOPPING and ) black olives pizzas ) )
512,(ORDER do (DRINKORDER me (NUMBER a ) favor and (TOPPING please ) pu up a (TOPPING med ) veggie banana pepper (STYLE pizza ) with a med diet pepsi ) )
513,(ORDER (PIZZAORDER for today please (TOPPING make ) me 3 (NUMBER stuff ) crust pizzas with all (TOPPING the ) meats on them ) )
514,(ORDER (PIZZAORDER this order is for (NUMBER a ) (SIZE large ) bigmeat pizza with broccoli and (TOPPING ham ) ) )
515,(ORDER i think (PIZZAORDER i'lltry (NUMBER a ) etra large (QUANTITY pizza ) with a tiny (TOPPING bit ) of (QUANTITY onions ) tuna and (TOPPING mushrooms ) please ) )
516,(ORDER (PIZZAORDER (NUMBER hi ) how are (NOT (TOPPING you ) i have an order (NUMBER for ) (SIZE a ) xl pizza (TOPPING with ) roasted garlic (TOPPING and ) ham and (QUANTITY i ) really (TOPPING love ) the new york style ) ) )
517,(ORDER tonight i want (PIZZAORDER (NUMBER three ) lare black (TOPPING olive ) pizza and (NUMBER three ) (NUMBER cans ) of sprte ) )
518,(ORDER let me (PIZZAORDER prefer (TOPPING a ) med red peppers and (TOPPING balsamic ) glaze pie no (NOT (STYLE light ) on the cheese ) ) )
519,(ORDER i would like (PIZZAORDER (STYLE to ) try the a (TOPPING med ) pizza with gorgonzola (TOPPING meatball ) and bacon (TOPPING and ) three med pspi ) )
520,(ORDER (PIZZAORDER i'l go (NUMBER for ) (STYLE one ) large-sze (NUMBER pizza ) (SIZE with ) italian sausage and meatball (TOPPING and ) without more cheese ) )
521,(ORDER i would (PIZZAORDER (NUMBER like ) to out (TOPPING in ) an order for a carrots (TOPPING and ) red onion pizza lage (NOT (STYLE with ) no goat cheese ) ) )
522,(ORDER (PIZZAORDER (NUMBER hi ) how are (NOT (TOPPING you ) i want to (NUMBER order ) one pie (TOPPING with ) pine apple olives and hold pesto ) ) )
523,(ORDER i'd love (PIZZAORDER (NUMBER to ) have a medium-sized (NUMBER pie ) (SIZE with ) parmesan and a drizzle (TOPPING gren ) pepper (NUMBER and ) ham ) )
524,(ORDER (PIZZAORDER how aboutplacing an order for three medum-size (SIZE parmasean ) (SIZE jalepenos ) pizzas (NUMBER without ) (SIZE peppers ) ) )
525,(ORDER lookin for (PIZZAORDER a (NUMBER pie ) with medium (QUANTITY size ) (SIZE along ) with buffalo (TOPPING sauce ) truffle il and ham ) )
526,(ORDER i'm allready (PIZZAORDER (NUMBER to ) (STYLE order ) okay please give (NUMBER me ) 13 mushy peas (NUMBER pizzas ) (DRINKTYPE now ) ) )
527,(ORDER (PIZZAORDER how about grabbng (NOT (TOPPING a ) large-size (NUMBER pizza ) (SIZE with ) olive capers and pineapple ) ) )
528,(ORDER (PIZZAORDER (NUMBER 11 ) smll pizzas (TOPPING with ) olive (TOPPING tuna ) and (TOPPING anchovies ) ) )
529,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE medium-size ) parmesan and roasted red (TOPPING peppers ) pizza on a (TOPPING vegetarian ) ) )
530,(ORDER i would (PIZZAORDER (NUMBER liketo ) out in an order for 1 (NUMBER medum-size ) (SIZE pizza ) with banana pepper onions (TOPPING and ) sausage ) )
531,(ORDER (PIZZAORDER gie me 7 (NUMBER Sparkling ) lemonade six extra (NUMBER large ) (SIZE fantas ) and (DRINKTYPE six ) extra (NUMBER large ) (SIZE cokes ) ) )
532,(ORDER (PIZZAORDER i guessi'll get (TOPPING 6 ) lunch pizzas with (TOPPING lettuce ) ) )
533,(ORDER (PIZZAORDER let's arrange (NUMBER for ) (STYLE 7 ) xl (NUMBER stuff ) (TOPPING crust ) pizza (TOPPING with ) a gluten-free (TOPPING crust ) and pesto ) )
534,(ORDER (PIZZAORDER (NUMBER 12 ) smll pizzas (TOPPING with ) bay (TOPPING leaves ) and leeks ) )
535,(ORDER (PIZZAORDER tonight iwant five (NUMBER smal ) pizzas with extra peppers and (TOPPING light ) (TOPPING truffle ) oil ) )
536,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE personal ) pizza with (TOPPING cerry ) tomatoes alittle cheese and no pesto ) )
537,(ORDER (PIZZAORDER i've decidedto (NUMBER order ) (STYLE a ) medium tofu (NUMBER and ) (SIZE basil ) pizza with no sausage ) )
538,(ORDER i'm (PIZZAORDER opting (NUMBER for ) a pizza with (NUMBER cucumber ) and chicken (TOPPING and ) double (TOPPING cheese ) please ) )
539,(ORDER i would (PIZZAORDER (NUMBER like ) to out (NOT (TOPPING in ) an order for (NUMBER 1 ) (SIZE medium ) pizza along (TOPPING with ) chorizo fontina (NOT (TOPPING cheese ) but avoid pesto ) ) )
540,(ORDER (PIZZAORDER today i'd like (NUMBER 9 ) (STYLE double ) (NUMBER large ) (QUANTITY supreme ) (SIZE pizza ) (TOPPING a ) medium (NUMBER veggie ) (SIZE pizza ) with double (TOPPING cheese ) and four (NUMBER large ) (SIZE Sparkling ) (DRINKTYPE lemonade ) ) )
541,(ORDER id like (PIZZAORDER (NUMBER to ) put in (NOT (TOPPING an ) order for (NUMBER 1 ) (SIZE extra ) large pie with (TOPPING liht ) carrots tuna and no pepperoni ) ) )
542,(ORDER i'd love (PIZZAORDER (NUMBER to ) try out (TOPPING a ) zucchini (TOPPING and ) broccoli pizza with no lamb please ) )
543,(ORDER i'm thinking (PIZZAORDER about having 2 (NUMBER pickled ) onions and lamb roasted (NUMBER eggplant ) (DRINKTYPE pies ) ) )
544,(ORDER (PIZZAORDER (NUMBER for ) today i just (NUMBER want ) (SIZE a ) large (DRINKTYPE ham ) and (NUMBER pineapple ) pizza with (TOPPING jalepenos ) and (NUMBER two ) (SIZE small ) (DRINKTYPE coke zero ) ) )
545,(ORDER i'm going (PIZZAORDER (NUMBER to ) go with (TOPPING fifteen ) medium-size (NUMBER hamburgr ) (SIZE and ) chicken pies without pineapple ) )
546,(ORDER i think (PIZZAORDER i'll take (TOPPING ten ) medium (NUMBER supreme ) (SIZE cicken ) (DRINKTYPE pizzas ) and (NUMBER ten ) large (NUMBER sprites ) ) )
547,(ORDER (PIZZAORDER can you get me (NUMBER a ) (DRINKTYPE almond ) milk (NUMBER six ) (DRINKTYPE fantas ) and (NUMBER a ) (VOLUME medium-sze ) (DRINKTYPE diet sprite ) ) )
548,(ORDER (PIZZAORDER i'd like (NUMBER to ) order a small (QUANTITY pizza ) with tomato sauce (TOPPING and ) leeks and (TOPPING a ) medium pepperoni (QUANTITY pizza ) with a tny (NUMBER bit ) of (TOPPING cheese ) and a small Flavored waer ) )
549,(ORDER i want (PIZZAORDER (NUMBER to ) (STYLE try ) 5 all the (TOPPING meats ) spicy red sauce pies with no lamb ) )
550,(ORDER i'd (PIZZAORDER like (NUMBER to ) secure (TOPPING a ) large (NUMBER pizza ) (SIZE with ) oives sausage (TOPPING and ) little cheese ) )
551,(ORDER i want (PIZZAORDER (NUMBER a ) xl pizza and (TOPPING on ) it i'll take (TOPPING bay ) leaves oregano and (STYLE definitely ) mushrooms ) )
552,(ORDER how about adding (PIZZAORDER (NUMBER a ) (SIZE large-size ) hot peppers (STYLE pizza ) with a lot (QUANTITY of ) cheese hold (TOPPING the ) olives ) )
553,(ORDER i refer (PIZZAORDER (NUMBER fifteen ) (SIZE medium-size ) pizzas with no green bell (NOT (TOPPING peppers ) but litle sauce and also include one bacon and (NUMBER ham ) large pizza ) ) )
554,(ORDER i need (PIZZAORDER (NUMBER an ) order of (QUANTITY five ) (TOPPING pizzas ) in (NUMBER small ) (SIZE size ) along with (TOPPING tofu ) (TOPPING lettce ) and (NUMBER a ) (DRINKTYPE diet pepsi ) ) )
555,(ORDER (PIZZAORDER let's see (NUMBER i ) want a a (NUMBER med ) (SIZE pizza ) with olives (TOPPING and ) mushrooms (TOPPING but ) no (NUMBER a ) (SIZE little ) cheese please ) )
556,(ORDER (PIZZAORDER (NUMBER start ) an order (TOPPING for ) four pizzas (TOPPING with ) parsley green olives and ham ) )
557,(ORDER let me prefer (PIZZAORDER (NUMBER a ) etra large (QUANTITY pizza ) (TOPPING today ) please put onion and pineapple on there but no peppers today thanks ) )
558,(ORDER i think (PIZZAORDER i'll (NUMBER just ) have (TOPPING a ) large pie (QUANTITY and ) i'd like (TOPPING mint ) on it and please (TOPPING also ) i'll take bbq (NUMBER chicken ) and bacon on it ) )
559,(ORDER (PIZZAORDER can you (NOT (TOPPING get ) me (NUMBER a ) (SIZE medium-size ) pizza with feta cheese (TOPPING oregao ) and pepperoni ) ) )
560,(ORDER repeat my (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING chard ) (TOPPING tuna ) and (TOPPING pesto ) please ) )
561,(ORDER tonigt i'm in (PIZZAORDER the mood for pesto (NOT (TOPPING and ) cumin with med pie but avoid basil ) ) )
562,(ORDER i'm thinking (PIZZAORDER (NUMBER bout ) (STYLE having ) 9 extra (NUMBER large ) (SIZE pan ) pizzas and one (QUANTITY large ) vegetarian pizza ) )
563,(ORDER i'm ready (PIZZAORDER (NUMBER to ) setle for (TOPPING a ) medium-sizd buffalo sauce (NOT (TOPPING and ) lettce pie with onions ) ) )
564,(ORDER i would (PIZZAORDER (NUMBER like ) (NUMBER your ) fifteen large-size pizzas both with olives (TOPPING onions ) and pesto ) )
565,(ORDER i have (PIZZAORDER some (NUMBER friends ) comin over (NOT (TOPPING so ) i'll take a pizza (NUMBER make ) it lnch (TOPPING please ) i want (NOT (TOPPING mexian ) lamb but absolutely no garlic powder that's important that's all ) ) )
566,(ORDER can i have (PIZZAORDER (NUMBER a ) (STYLE personl ) pie and i'd (TOPPING like ) prosciutto on it as well as mint and light on cheese that's all ) )
567,(ORDER (PIZZAORDER let's settle on a green (TOPPING peppers ) and cucumber pizza (TOPPING without ) the stuffed crust ) )
568,(ORDER hi tonight (PIZZAORDER i want (NUMBER a ) (SIZE medium-size ) pie with broccoli on (TOPPING it ) as (TOPPING well ) as light (NUMBER on ) jalapens in addition to pepperoni that's all ) )
569,(ORDER (PIZZAORDER pease i would like (NUMBER a ) (SIZE medium-sized ) pie with feta cheeseburger and (TOPPING pineapples ) ) )
570,(ORDER i would (PIZZAORDER (NUMBER lie ) to get 1 (QUANTITY pizza ) with large size (TOPPING along ) with cheese and parsley but (NOT (TOPPING no ) spicy red sauce ) ) )
571,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE total ) of 11 pizzas with (TOPPING caramelized ) red cabbage (TOPPING roasted ) eggplant and (TOPPING red ) cabbage ) )
572,(ORDER i'd like (PIZZAORDER (NUMBER to ) place an order (TOPPING for ) a large (QUANTITY cucumber ) (SIZE and ) (TOPPING roasted ) garlic pizza with no banana peppers ) )
573,(ORDER (PIZZAORDER could you please get me (NUMBER a ) (SIZE small ) size pizza please (TOPPING no ) basil the toppings should be (TOPPING green ) peppers and (NUMBER sausage ) only ) )
574,(ORDER i'll go (PIZZAORDER (NUMBER with ) one smal (QUANTITY sweet ) (TOPPING potatoes ) pizza (TOPPING one ) smal meat (QUANTITY lovers ) pizza without (TOPPING mushrooms ) one medium beef (QUANTITY and ) black olive pizza and five smal Milkhakes ) )
575,(ORDER (PIZZAORDER i've decided (NUMBER on ) 10 blue (TOPPING cheese ) and tomato (TOPPING pizzas ) ) )
576,(ORDER could you (PIZZAORDER (NOT (TOPPING put ) in (NUMBER a ) (SIZE small ) pizza with (TOPPING low ) fat cheese mushrooms (TOPPING and ) (TOPPING peppers ) ) ) )
577,(ORDER (PIZZAORDER let me finaize with a lunch (QUANTITY lemon ) zest (TOPPING and ) ham pizza no (TOPPING little ) cheese though ) )
578,(ORDER i'd like to (PIZZAORDER put in (NOT (TOPPING an ) order for a lunch (NUMBER pizza ) (SIZE with ) jalepenos and (TOPPING onions ) but no pepperonis ) ) )
579,(ORDER i'd (PIZZAORDER love (NUMBER to ) (STYLE place ) an order for (TOPPING thee ) (TOPPING italian ) sausage and bacon (TOPPING pesto ) pies ) )
580,(ORDER today i need (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING zucchini ) and (TOPPING tofu ) pie with no (NOT (TOPPING tomatoe ) sauce ) ) )
581,(ORDER (PIZZAORDER let's decide on nine pies with gruyere (TOPPING cheese ) and groundbeef but no pepperoni ) )
582,(ORDER for (PIZZAORDER tonight i (TOPPING just ) (TOPPING wnt ) a (TOPPING pizza ) make it (TOPPING peronal ) please add (TOPPING some ) feta cheese as (NUMBER well ) as garlic powder but i'll pass on the lamb ) )
583,(ORDER (PIZZAORDER (NUMBER hello ) my order (TOPPING is ) for (NUMBER 1 ) (SIZE med ) pizza with (TOPPING roasted ) garlic and (QUANTITY some ) extra carros but hold tuna ) )
584,(ORDER (PIZZAORDER my order tonight (TOPPING is ) for luch pie along (TOPPING with ) (TOPPING all ) the veggies hams mushrooms ) )
585,(ORDER (PIZZAORDER (NUMBER 8 ) (SIZE medium-sze ) pizzas with zucchini ) )
586,(ORDER let me (PIZZAORDER (NUMBER get ) (NUMBER a ) (SIZE large ) pizza with (TOPPING tomato ) sauce and peppers (TOPPING no ) pineapple ) )
587,(ORDER i'd like (PIZZAORDER (NUMBER to ) get three medium-size (NUMBER pizzas ) (SIZE with ) extra ground beef and one (TOPPING large ) pizza with (NUMBER lamb ) ) )
588,(ORDER let me (PIZZAORDER (NUMBER secure ) one pizza with (TOPPING poppy ) seeds (TOPPING and ) red onions (STYLE and ) (STYLE i ) do not want chicago style ) )
589,(ORDER hi tonight i (PIZZAORDER want (NUMBER a ) (SIZE small ) pizza with (TOPPING spicy ) red sauce additional cheese and (DRINKTYPE pesto ) please (NUMBER add ) (NUMBER one ) diet coke ) )
590,(ORDER i will (PIZZAORDER (NUMBER try ) (STYLE the ) eght xl big (TOPPING meat ) pizza a (NUMBER medium ) veggie pizza with (TOPPING heavy ) on prmesan and four large cokes ) )
591,(ORDER i m (PIZZAORDER (NUMBER trying ) to order (NUMBER a ) (SIZE medium-size ) pizza along with beef (TOPPING sweet ) corn but hold gluten-free (NOT (TOPPING crust ) ) ) )
592,(ORDER please get me (PIZZAORDER (NUMBER 7 ) (SIZE medium ) chicken pizzas (NUMBER two ) (SIZE medium ) (DRINKTYPE pepperoni ) pizzas (NUMBER one ) (SIZE large ) (DRINKTYPE vegetarian ) pizza (NUMBER and ) (DRINKTYPE two ) unsweetened ice teas ) )
593,(ORDER i think (PIZZAORDER i'll (NUMBER just ) (SIZE have ) a pie in (TOPPING lage ) size along (QUANTITY with ) buffalo sauce and (TOPPING ham ) but without mushrooms ) )
594,(ORDER (PIZZAORDER i've decided to (NUMBER order ) (STYLE 13 ) large-size (NUMBER diet ) (SIZE prite ) six (DRINKTYPE medium diet ) prite six (NUMBER large-size ) (SIZE sprites ) (DRINKTYPE two medium ) sprites (NUMBER and ) (SIZE four ) large-size (DRINKTYPE ice ) teas ) )
595,(ORDER i would (PIZZAORDER (NUMBER like ) to (TOPPING go ) for (NUMBER a ) (SIZE extra ) large pizza pie (TOPPING and ) make that (TOPPING with ) pesto veggies (TOPPING lover ) and ham as well thanks ) )
596,(ORDER (PIZZAORDER (NUMBER sor ) me out (TOPPING with ) 10 xl (TOPPING grilled ) chickn pizzas (NUMBER with ) light cheese and (NOT (TOPPING no ) pesto ) ) )
597,(ORDER (PIZZAORDER put in the (TOPPING order ) for a (QUANTITY xl ) (TOPPING new ) yok style hams and oregano pie ) )
598,(ORDER i want (PIZZAORDER (NUMBER to ) finaize with (TOPPING 13 ) pizzas with no (NOT (TOPPING carrots ) jut roastd red peppers and onions ) ) )
599,(ORDER i (PIZZAORDER am (NUMBER trying ) to order (NUMBER a ) pie along with garlic powder chicken combination (NUMBER and ) (DRINKTYPE a ) Flavored water ) )
600,(ORDER (PIZZAORDER i'd like a (NUMBER total ) (SIZE of ) (STYLE a ) large-size (NUMBER shrimp ) pizza and two (TOPPING Bubble ) tea ) )
601,(ORDER i'd like fourteen (PIZZAORDER large (QUANTITY black ) olive (TOPPING and ) parmesan pizzas ) )
602,(ORDER get me please (PIZZAORDER (NUMBER 15 ) (SIZE large-size ) pickles and alfredo chicken (TOPPING pizzas ) with no olives ) )
603,(ORDER (PIZZAORDER (NUMBER h ) good afternoon (NOT (TOPPING for ) today i'd like a (NUMBER stuffed ) (SIZE crust ) pizza with no (NOT (TOPPING pepperonis ) on it ) ) )
604,(ORDER get me (PIZZAORDER (NUMBER a ) (TOPPING vegan ) and (TOPPING lettuce ) pickles ) )
605,(ORDER looking for (PIZZAORDER (NUMBER ten ) med pizzas with (TOPPING tomatoes ) mushrooms and (TOPPING tuna ) ) )
606,(ORDER i'll just (PIZZAORDER (NUMBER take ) (SIZE a ) extr large zucchini pizza (NUMBER and ) (SIZE two ) (DRINKTYPE bottle ) of (NUMBER die ) (VOLUME sprites ) ) )
607,(ORDER i'm in (PIZZAORDER (NUMBER the ) mood for (NOT (TOPPING a ) pie (NUMBER with ) pickes as (TOPPING well ) as sausage (NOT (TOPPING but ) please no olives ) ) )
608,(ORDER i would (PIZZAORDER (NUMBER like ) to place (TOPPING an ) order (NUMBER for ) a pizza (TOPPING anchovies ) additional cheese (NUMBER and ) (DRINKTYPE don't ) include tuna ) )
609,(ORDER i'd enjy (PIZZAORDER (NUMBER having ) a medium (TOPPING basamic ) glaze (NUMBER pizza ) (SIZE with ) double cheese (TOPPING hold ) the mushrooms ) )
610,(ORDER let' go ahead (PIZZAORDER with a med (TOPPING pizza ) with green (TOPPING peppers ) and some havy (TOPPING on ) cheese but hold tuna ) )
611,(ORDER let me scure (PIZZAORDER (NUMBER 1 ) (NUMBER medium-size ) pizza please make sure there (TOPPING to ) make that with (QUANTITY onions ) (TOPPING on ) it as (TOPPING well ) as ricotta cheese and please i don't want pineapple ) )
612,(ORDER let's go with (PIZZAORDER a small pizza with low fat (TOPPING cheese ) on it (TOPPING and ) also (TOPPING tomato ) but i don't like pikles thanks ) )
613,(ORDER i feel (PIZZAORDER like (NUMBER having ) three (TOPPING persoal ) (TOPPING anchovies ) and (TOPPING cheese ) pizzas with (NOT (STYLE no ) onions ) ) )
614,(ORDER i would like (PIZZAORDER to try (NUMBER a ) (SIZE medium-ized ) pizza with onions and parmasean but (NUMBER no ) green pepper ) )
615,(ORDER my order tonight (PIZZAORDER is (NUMBER for ) a pie with tuna (NUMBER and ) (TOPPING vegetarian ) also add (NUMBER some ) light truffle oil please ) )
616,(ORDER (PIZZAORDER (NUMBER how ) about you (NOT (TOPPING get ) me (NUMBER a ) xl pizza (TOPPING with ) feta (TOPPING and ) onions (NUMBER and ) (SIZE a ) medium pepperoni pizza with heavy on cheese (NUMBER and ) (DRINKTYPE a ) xl 7 us ) ) )
617,(ORDER i would (PIZZAORDER (NUMBER like ) to out (NOT (TOPPING in ) an order (NUMBER for ) (SIZE medium-ized ) pizza with arugula (TOPPING and ) banana (TOPPING peppers ) but hold the deep (NOT (TOPPING dish ) ) ) )
618,(ORDER i prefer (PIZZAORDER (NUMBER a ) (STYLE med ) combintion pizza and two small (NUMBER Apple ) (SIZE juice ) ) )
