order,output
918,(ORDER can i please (PIZZAORDER get (NUMBER a ) (SIZE small ) (TOPPING tomato ) pizza with (QUANTITY extra ) (TOPPING black ) (TOPPING olives ) and no (NOT (TOPPING mushrooms ) ) ) )
919,(ORDER i'm in (PIZZAORDER the mood for personal pie (SIZE with ) a bunch of black olive (TOPPING peas ) (TOPPING mushroom ) ) )
920,(ORDER i'll go (PIZZAORDER with a lunch (NUMBER pizza ) (SIZE with ) spicy red (QUANTITY sauce ) (TOPPING leeks ) and (TOPPING garlic ) powder and (TOPPING extra ) cheese ) )
921,(ORDER i'll go (PIZZAORDER for the 14 pizzas (NUMBER with ) pineapples and (TOPPING tomatoes ) but (TOPPING no ) these ) )
922,(ORDER please give (PIZZAORDER me (NUMBER a ) (SIZE extra ) large pizza and on it i'll take sausage pesto (TOPPING and ) (TOPPING i ) want mexican style ) )
923,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE medium ) pizza with sirach (TOPPING sauce ) and poppy seeds ) )
924,(ORDER i'm opting (PIZZAORDER for 1 large pizza (NUMBER with ) (SIZE sirach ) sauce peppers and (TOPPING mushrooms ) (TOPPING on ) it ) )
925,(ORDER (PIZZAORDER lemme try ricotta (TOPPING cheese ) and canadian bacon (TOPPING vegetarian ) along (TOPPING with ) a (NUMBER cheer ) (DRINKTYPE pepsi ) ) )
926,(ORDER (PIZZAORDER put in another for (NUMBER a ) (SIZE large-size ) mushrooms and (TOPPING chorizo ) pizza (TOPPING with ) jalapeños and two small (NUMBER flavored ) (SIZE water ) ) )
927,(ORDER ill go for (PIZZAORDER (NUMBER 15 ) al pies with lamb and pineapple ) )
928,(ORDER i (PIZZAORDER am going to need (NUMBER a ) pizza with (TOPPING smoked ) salmon (TOPPING and ) (TOPPING chorizo ) on it without any black olives ) )
929,(ORDER i (PIZZAORDER think i'll grab eight pies (NUMBER with ) roasted tomatoes (TOPPING pepperoni ) (TOPPING and ) without chicken ) )
930,(ORDER (PIZZAORDER i think i'll order a medium-size (SIZE pie ) (SIZE with ) caramelized onions and balsamic (TOPPING glaze ) (TOPPING and ) no (TOPPING sausage ) ) )
931,(ORDER i'm try (PIZZAORDER a lunch (NUMBER pine ) (SIZE apple ) (TOPPING and ) (TOPPING bellpeppers ) pizza (TOPPING without ) sausage ) )
932,(ORDER i like (PIZZAORDER to have (NUMBER a ) (SIZE a ) (STYLE tiny ) bit of (SIZE large ) size pizza for (TOPPING toppings ) (TOPPING i'd ) like hot peppers and please put a tiny bit (SIZE of ) cheese on there but ) )
933,(ORDER i would (PIZZAORDER like to have (NUMBER one ) (SIZE large ) pizza with (TOPPING jalapeños ) (TOPPING chicken ) and (TOPPING black ) olives and (NUMBER two ) (SIZE large ) (DRINKTYPE pepsi ) and (NUMBER two ) (SIZE large ) ice teas ) )
934,(ORDER put p (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza with (TOPPING hamburger ) and (TOPPING bacon ) but leave off the (NOT (TOPPING peppers ) please ) ) )
935,(ORDER (PIZZAORDER can you please give me (NUMBER eight ) me pizzas with pickled (TOPPING onions ) (TOPPING olives ) and bacon (TOPPING to ) go with five bottle of coke ) )
936,(ORDER (PIZZAORDER okay let me think okay i'm take a me (NUMBER pizza ) with canadian bacon trifle (TOPPING oil ) and (TOPPING pineapple ) (TOPPING on ) it ) )
937,(ORDER i'm ordering (PIZZAORDER a medium-size (NUMBER pizza ) (SIZE with ) roasted red onion and tuna and (TOPPING i ) don't (TOPPING want ) it it have a thin crust ) )
938,(ORDER i would (PIZZAORDER like have (NUMBER a ) (SIZE large ) pie with (TOPPING mushroom ) and (TOPPING tomato ) (TOPPING sauce ) (TOPPING also ) add some (QUANTITY little ) (TOPPING cheese ) ) )
939,(ORDER id like (PIZZAORDER to put in an order for (NUMBER a ) (SIZE personal ) pizza with (TOPPING peppers ) (TOPPING chicken ) and (TOPPING onion ) ) )
940,(ORDER (PIZZAORDER hello my order is for (NUMBER a ) hamburger pizza additional (TOPPING red ) (TOPPING peppers ) no (NOT (TOPPING tuna ) ) ) )
941,(ORDER hey order me (PIZZAORDER (NUMBER two ) al (TOPPING ground ) beef pizzas with (TOPPING peppers ) and heavy (TOPPING on ) cheese a (SIZE medium ) beef pizza with (TOPPING mushrooms ) and onions and (SIZE three ) (SIZE small ) Grape juice ) )
942,(ORDER i need (PIZZAORDER you to begin seven order for seven gorgonzola and (TOPPING bay ) leaves (TOPPING pizza ) with no kimchi ) )
943,(ORDER give e (PIZZAORDER (NUMBER a ) are pizza with (TOPPING peas ) and (TOPPING pepper ) and without any (NOT (TOPPING ham ) please ) ) )
944,(ORDER i'm (PIZZAORDER going to go with a medium-sized (SIZE pizza ) (SIZE with ) carrots and mushy peas (TOPPING without ) be chicken ) )
945,(ORDER i like (PIZZAORDER (NUMBER ten ) (SIZE small ) mean pies with (TOPPING artichokes ) and (NUMBER leon ) (DRINKTYPE zest ) ) )
946,(ORDER i want (PIZZAORDER to finalize with eight (SIZE extra ) (SIZE large ) diet (TOPPING sprites ) two (NUMBER pepsi ) (DRINKTYPE and ) one (NUMBER large ) (SIZE doctor ) (DRINKTYPE pepper please ) ) )
947,(ORDER please get (PIZZAORDER (NUMBER a ) (TOPPING pineapples ) pizza doubt (TOPPING black ) (TOPPING means ) no tuna ) )
948,(ORDER (PIZZAORDER hello today id like to order (SIZE a ) (SIZE medium-size ) chorizo pizza with additional roast tomatoes and (TOPPING no ) olives ) )
949,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large-size ) low fat (TOPPING cheese ) (TOPPING and ) cumin pizza (TOPPING minus ) the pepperonis ) )
950,(ORDER can you arrange (PIZZAORDER (NUMBER a ) (SIZE extra ) large pizza with sirach sauce (TOPPING onions ) (TOPPING mushrooms ) and black (TOPPING olives ) and i'd also like to get four small coke ) )
951,(ORDER (PIZZAORDER i'll go ahead and order a pizza (NUMBER me ) in size including peppers and (TOPPING peas ) but (TOPPING without ) pepperoni ) )
952,(ORDER (PIZZAORDER may i please have (NUMBER 7 ) (SIZE large ) sweet corn pizzas with (TOPPING onions ) and (TOPPING green ) olives and (NUMBER a ) (VOLUME to liter ) (CONTAINERTYPE bottle ) of (DRINKTYPE Soy ) milk ) )
953,(ORDER (PIZZAORDER (NUMBER 5 ) (SIZE small ) pizzas with (TOPPING green ) bell (TOPPING peppers ) (TOPPING cheddar ) cheese and (TOPPING parmesan ) ) )
954,(ORDER (PIZZAORDER (NUMBER 6 ) (SIZE small ) (TOPPING arugula ) and (TOPPING pepperoni ) pizzas with a two liter of Sarsaparilla ) )
955,(ORDER please get me (PIZZAORDER (NUMBER a ) (SIZE large-size ) vegan pizza (STYLE with ) all the (TOPPING meats ) (TOPPING and ) (TOPPING a ) large (NUMBER lemon ) (SIZE ice ) (DRINKTYPE tea ) ) )
956,(ORDER tonight i'm (PIZZAORDER in the mood for a jalapeños (NUMBER pie ) with big eat (TOPPING and ) light on cheese please ) )
957,(ORDER (PIZZAORDER could you please arrange for (NUMBER a ) me pizza with (TOPPING parmesan ) and (TOPPING banana ) pepper on it ) )
958,(ORDER i'll to (PIZZAORDER the 1 all (NUMBER mexican ) (STYLE pizza ) 1 all garlic (STYLE powder ) (STYLE pizza ) (TOPPING and ) a all (QUANTITY veggie ) (STYLE pizza ) ) )
959,(ORDER good (PIZZAORDER afternoon i'm in the mood for medium-sized (NUMBER pizza ) (SIZE gluten-free ) crust ) )
960,(ORDER i'd love (PIZZAORDER to try out a veggie (NUMBER pizza ) (STYLE with ) little artichokes and hot peppers ) )
961,(ORDER i (PIZZAORDER i'd like to get a large (NUMBER all ) (SIZE the ) veggies chicken (STYLE and ) (TOPPING pepper ) pizza ) )
962,(ORDER i think (PIZZAORDER i'll just have 11 al pizzas with chorizo mushrooms (TOPPING and ) (TOPPING bacon ) and 11 al pizzas with chorizo pepperoni green peppers and bacon and one al vegan pizza ) )
963,(ORDER (PIZZAORDER i'll go for a total (NUMBER of ) a green pepper (TOPPING and ) (TOPPING ham ) pizza (TOPPING without ) any tuna on (NOT (TOPPING it ) ) ) )
964,(ORDER (PIZZAORDER i've decided to order 1 al hummus and chicken pie with (TOPPING no ) ham please ) )
965,(ORDER i need (PIZZAORDER an order placed for (NUMBER a ) (SIZE personal ) (TOPPING buffalo ) (TOPPING sauce ) and (TOPPING pepperoni ) pizza with (TOPPING highrise ) ) )
966,(ORDER (PIZZAORDER can you sort out (NUMBER a ) (SIZE large ) pizza along with (TOPPING beef ) and (TOPPING parley ) but avoid (NOT (TOPPING sausage ) ) ) )
967,(ORDER i think (PIZZAORDER all order (NUMBER a ) (SIZE medium ) pizza with (TOPPING sausage ) and (TOPPING peppers ) and no (NOT (TOPPING pineapple ) please ) ) )
968,(ORDER i need (PIZZAORDER to have (NUMBER 12 ) (SIZE large ) (TOPPING pan ) carrots pizzas (NUMBER with ) (SIZE a ) (SIZE large ) (DRINKTYPE Grape ) juice (NUMBER and ) (SIZE a ) (DRINKTYPE large mountain ) dew ) )
969,(ORDER (PIZZAORDER good evening for tonight i'll take two extra (NUMBER large ) (SIZE pizzas ) with sliced peas (TOPPING and ) (TOPPING bacon ) ) )
970,(ORDER i feel like (PIZZAORDER going with 5 (SIZE personal ) (STYLE thin ) crust pizza with (QUANTITY a ) (STYLE gluten-free ) (TOPPING crust ) and lamb ) )
971,(ORDER please i want (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE stuff ) crust pizza with (NUMBER a ) (STYLE little ) (STYLE arugula ) a small (SIZE big ) (STYLE meat ) (STYLE pizza ) with a (SIZE little ) arugula and (NUMBER two ) (SIZE large ) (SIZE sparkling ) water ) )
972,(ORDER (PIZZAORDER could you please get me (NUMBER a ) (SIZE personal ) (TOPPING garlic ) (TOPPING powder ) pizza with (TOPPING spicy ) (TOPPING red ) sauce and (TOPPING arugula ) on top ) )
973,(ORDER may have (PIZZAORDER (NUMBER 15 ) pizzas i want tomato (TOPPING sauce ) and (TOPPING cheddar ) (TOPPING cheese ) on all of them and no sausage on any of them thanks a lot ) )
974,(ORDER i like (PIZZAORDER to (NUMBER a ) (SIZE large ) pie with (TOPPING cumin ) and (TOPPING chicken ) but avoid adding (NOT (TOPPING sausage ) please ) ) )
975,(ORDER i wanted (PIZZAORDER (NUMBER five ) pizzas with (TOPPING caramelized ) onions and (TOPPING banana ) peppers on them but hold the pepperoni thanks ) )
976,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE large-size ) tomatoes pizza (TOPPING and ) a two (NUMBER liter ) (NUMBER coca-colas ) ) )
977,(ORDER i wish (PIZZAORDER to have (NUMBER a ) (SIZE medium-size ) truffle oil and a lot (TOPPING of ) cheese (SIZE pizza ) no mushrooms (TOPPING please ) ) )
978,(ORDER i'm (PIZZAORDER leaning toward a chicken (NUMBER pizza ) (TOPPING with ) onions and (TOPPING no ) pesto ) )
979,(ORDER (PIZZAORDER tonight i in the mood for (NUMBER a ) (SIZE lunch ) size pizza with (TOPPING banana ) (TOPPING pepper ) (TOPPING shrimp ) and without (NOT (TOPPING yellow ) peppers please ) ) )
980,(ORDER i'm craving (PIZZAORDER 8 meium-size (NUMBER jalapeño ) peppers and feta cheese (TOPPING pies ) with peppers ) )
981,(ORDER i want (PIZZAORDER to have (NUMBER a ) (SIZE small ) pizza with (TOPPING red ) cabbage and smoked salmon (TOPPING shrimp ) ) )
982,(ORDER i want (PIZZAORDER to have pie with (TOPPING bacon ) and (TOPPING sweet ) potatoes and no (NOT (TOPPING zucchini ) ) ) )
983,(ORDER begin an order (PIZZAORDER for (NUMBER a ) pie with (TOPPING shrimp ) canadian (TOPPING bacon ) and hold (NOT (TOPPING pesto ) ) ) )
984,(ORDER i will (PIZZAORDER try (NUMBER a ) two liter of (TOPPING cheer ) pepsi (NUMBER a ) (SIZE medium-sizd ) parmesan pizza (NOT (TOPPING and ) a small (SIZE stuff ) crust pizza ) ) )
985,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE lunch ) pizza with (TOPPING meatball ) on it and also jalapeños but i don't like pesto thanks ) )
986,(ORDER (PIZZAORDER (NUMBER nine ) al pizzas with hamburger (TOPPING green ) (TOPPING pepper ) and (TOPPING jalapeños ) ) )
987,(ORDER let's go with (PIZZAORDER a personal (SIZE size ) (SIZE pizza ) ) )
988,(ORDER repeat my last (PIZZAORDER order (NUMBER of ) (SIZE a ) pizza with with beef lemon zest and bacon ) )
989,(ORDER can you order (PIZZAORDER (NUMBER a ) al pie with (TOPPING shrimp ) (TOPPING carrots ) and with no (NOT (TOPPING broccoli ) please ) ) )
990,(ORDER (PIZZAORDER repeat last order of (NUMBER one ) (SIZE large ) tuna pizza one (QUANTITY large ) (TOPPING lemon ) zest pizza and one (NUMBER large ) (SIZE margarita ) pizza without picked (NOT (TOPPING onions ) ) ) )
991,(ORDER (PIZZAORDER (NUMBER three ) (SIZE medium-sized ) pizzas with black olives (TOPPING and ) mushy peas ) )
992,(ORDER could i get (PIZZAORDER (NUMBER a ) (SIZE lunch ) picked and (TOPPING light ) on the (TOPPING cheese ) pizza with no (NOT (TOPPING tuna ) ) ) )
993,(ORDER godlike to order (PIZZAORDER just (NUMBER a ) (SIZE large-size ) pie along with pesto and some (TOPPING a ) little bit cheese (SIZE but ) hold (TOPPING pepperoni ) ) )
994,(ORDER begin an order (PIZZAORDER or (NUMBER a ) (SIZE large ) pizza with (TOPPING ham ) and (TOPPING tofu ) and also need two (NUMBER Macchiatos ) ) )
995,(ORDER do me (PIZZAORDER (NUMBER a ) favor an please put up (NUMBER a ) al pizza and top it with (TOPPING black ) (TOPPING olive ) and chicken hold the (NOT (TOPPING onions ) please ) ) )
996,(ORDER i'm ready (PIZZAORDER to have 1 small (NUMBER pie ) (SIZE with ) pepperoni and (TOPPING prosciutto ) ) )
997,(ORDER (PIZZAORDER sort me out with (NUMBER a ) prosciutto and (TOPPING italian ) sausage pizza (TOPPING with ) (TOPPING no ) tomato ) )
998,(ORDER i (PIZZAORDER think i'll take fourteen personal (NUMBER pizzas ) (SIZE with ) be chicken (TOPPING and ) (TOPPING banana ) peppers ) )
999,(ORDER i prefer (PIZZAORDER to have (NUMBER a ) (STYLE me ) veggies lover door pizza with pineapples and pepperonis ) )
1000,(ORDER get fourteen (PIZZAORDER (SIZE personal ) (STYLE meat ) lovers jalapeños pizzas ) )
1001,(ORDER i want (PIZZAORDER to finalize with a (SIZE medium-sized ) (SIZE mushy ) peas stuffed crust pie with (STYLE no ) green bell peppers ) )
1002,(ORDER (PIZZAORDER do me (NUMBER a ) favor and please put up (NUMBER a ) (SIZE lunch ) size pizza with light on the trifle oil (TOPPING deep ) dish (TOPPING and ) pesto ) )
1003,(ORDER (PIZZAORDER even lare-size additional (SIZE yellow ) peppers additional pepperoni (TOPPING pizzas ) please ) )
1004,(ORDER please may (PIZZAORDER i have (NUMBER a ) (SIZE extra ) large (TOPPING arugula ) pan pie with no shrimp ) )
1005,(ORDER (PIZZAORDER i've decided to order one large (NUMBER leeks ) (SIZE pizza ) with lemon zest and (QUANTITY roasted ) eggplant and two (TOPPING large ) Espresso ) )
1006,(ORDER please can have (PIZZAORDER (NUMBER a ) (TOPPING olives ) and (TOPPING pepper ) pizza no (NOT (TOPPING onions ) ) ) )
1007,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium-sized ) pizzas with roasted red (TOPPING peppers ) gorgonzola (TOPPING and ) onions ) )
1008,(ORDER (PIZZAORDER can you get me (NUMBER 6 ) (TOPPING Apple ) juice (NUMBER a ) (DRINKTYPE coke ) and (NUMBER five ) (SIZE mdium-sized ) (NUMBER fantasy ) ) )
1009,(ORDER (PIZZAORDER hi how are you i have an order for (NUMBER a ) (SIZE personal ) size pizza for the (TOPPING toppings ) (TOPPING hi ) how are you i have an order for ricotta cheese banana pepper ) )
1010,(ORDER can i try (PIZZAORDER (NUMBER a ) al pie added with (TOPPING pesto ) (TOPPING sauce ) and some (TOPPING green ) (TOPPING bell ) papers supreme ) )
1011,(ORDER i'd appreciate (PIZZAORDER a pie (NUMBER with ) artichokes broccoli (TOPPING without ) (TOPPING onions ) ) )
1012,(ORDER i'll have eight (PIZZAORDER largesse (NUMBER sausage ) (SIZE and ) (TOPPING bbqchicken ) (TOPPING pies ) ) )
1013,(ORDER can consort out (PIZZAORDER (NUMBER fifteen ) (SIZE medium-sized ) pizzas all with banana peppers (TOPPING and ) (TOPPING vegan ) pepperoni (TOPPING on ) them ) )
1014,(ORDER (PIZZAORDER start an order for (NUMBER 5 ) pies in medium size along with (TOPPING roasted ) (TOPPING tomatoes ) and (TOPPING pineapple ) ) )
1015,(ORDER i prefer (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE bi ) meat pizza with (TOPPING beef ) and (TOPPING gruyeres ) cheese ) )
1016,(ORDER could you (PIZZAORDER put in (NUMBER a ) (STYLE al ) me lovers pizza with (TOPPING stuff ) (TOPPING crust ) and (TOPPING make ) it (STYLE a ) (STYLE veggies ) lover ) )
1017,(ORDER (PIZZAORDER how about adding (NUMBER 13 ) (DRINKTYPE pineapple soda ) a (NUMBER coke ) (DRINKTYPE and ) (NUMBER a ) (DRINKTYPE diet sprite ) ) )
1018,(ORDER i would (PIZZAORDER like your (SIZE a ) (SIZE large-size ) pizza tonight with a little (QUANTITY bit ) parmesan let's (TOPPING see ) i also want red onion but i do not want any bacon thanks a ) )
1019,(ORDER i'm (PIZZAORDER opting for a large-size pie (SIZE with ) (SIZE ricotta ) cheese and spicy red (TOPPING sauce ) (TOPPING and ) no (TOPPING mushrooms ) ) )
1020,(ORDER i just need (PIZZAORDER (NUMBER a ) (SIZE lunch ) pizza with (TOPPING carrots ) lamb but no (NOT (TOPPING pesto ) ) ) )
1021,(ORDER i would (PIZZAORDER love to get (NUMBER a ) (SIZE medium-sized ) big meat and (TOPPING sprinkle ) it (TOPPING with ) tofu ) )
1022,(ORDER i need (PIZZAORDER to place an order for 7 (SIZE extra ) large prawns and bacon pies (TOPPING with ) no a drizzle cheese (NOT (TOPPING please ) ) ) )
1023,(ORDER i wanted (PIZZAORDER to have (NUMBER a ) pizza along with sundries tomatoes (TOPPING and ) (TOPPING basil ) please avoid veggies lover ) )
1024,(ORDER (PIZZAORDER my order for today is for (NUMBER two ) (SIZE large ) (TOPPING pepperoni ) pizzas with peppers and double cheese a medium beef pizza with mushrooms and onions and (SIZE three ) small kombucha ) )
1025,(ORDER (PIZZAORDER let me finalize with eight (NUMBER pizzas ) in medium size along with beef (TOPPING gluten-free ) (TOPPING crust ) without olives ) )
1026,(ORDER (PIZZAORDER i'd like to sick with 7 large (NUMBER pizzas ) (SIZE with ) canadian bacon (TOPPING mushrooms ) (TOPPING and ) bacon and (TOPPING six ) large (NUMBER Cranberry ) (SIZE juice ) ) )
1027,(ORDER lets make it (PIZZAORDER (NUMBER eight ) (SIZE extra ) large (STYLE supreme ) pizzas with (TOPPING cherry ) tomatoes and (TOPPING green ) bell peppers ) )
1028,(ORDER repeat my favorite (PIZZAORDER order (NUMBER of ) (SIZE 1 ) (SIZE extra ) large pizza with mint (TOPPING leeks ) and onions ) )
1029,(ORDER (PIZZAORDER hi good afternoon for tody i'd like five lunch pizzas (NUMBER with ) (SIZE jalapeños ) and pickled (TOPPING onions ) along with a large pepperoni pizza ) )
1030,(ORDER (PIZZAORDER how about placing an order for (NUMBER 4 ) (SIZE large ) pizzas with (TOPPING additional ) artichokes and light sauce along with 4 7 up and a (NUMBER coke ) ) )
1031,(ORDER i only want (PIZZAORDER (NUMBER a ) al pizza and (TOPPING bay ) leaves with canadian (TOPPING bacon ) peperoni ) )
1032,(ORDER i'm (PIZZAORDER going to order 2 large-size (SIZE pizzas ) (SIZE with ) extra hams and one (QUANTITY large ) (TOPPING pizza ) with (NUMBER low ) (SIZE fat ) hams ) )
1033,(ORDER (PIZZAORDER do a (TOPPING red ) (TOPPING onion ) and (TOPPING pepper ) pizza with no (NOT (TOPPING bacon ) on it ) ) )
1034,(ORDER (PIZZAORDER i'd like to stick with four small (NUMBER pies ) (SIZE with ) cumin bacon (TOPPING but ) (TOPPING no ) extra cheese ) )
1035,(ORDER (PIZZAORDER i'll go for a total (NUMBER of ) a small (NUMBER pizza ) (SIZE with ) roasted eggplant (TOPPING mushy ) (TOPPING peas ) and paper ) )
1036,(ORDER i'm (PIZZAORDER thinking about having a large-size (SIZE pizza ) (SIZE and ) low fat cheese with (TOPPING tuna ) (TOPPING pineapple ) ) )
1037,(ORDER please may (PIZZAORDER i have (NUMBER 1 ) high on the (SIZE large ) pizza with (TOPPING yellow ) (TOPPING peppers ) and (TOPPING grilled ) chicken with high on the (NOT (TOPPING cheese ) ) ) )
1038,(ORDER i need (PIZZAORDER to get (NUMBER a ) (SIZE medium ) pizza with a (STYLE little ) bit (STYLE green ) bell (TOPPING peppers ) and (TOPPING cherry ) tomatoes and no (NOT (TOPPING bacon ) please ) ) )
1039,(ORDER i would (PIZZAORDER take (NUMBER a ) (SIZE medium ) pizza with (TOPPING vegetarian ) (TOPPING except ) hamburger and spinach a (SIZE large ) (DRINKTYPE coke ) and (NUMBER a ) (SIZE large ) (DRINKTYPE diet coke ) ) )
1040,(ORDER (PIZZAORDER please give me pizza which is (SIZE large ) (TOPPING including ) bacon a bunch of (TOPPING cheese ) (TOPPING chicken ) ) )
1041,(ORDER hi tonight i (PIZZAORDER want (NUMBER 1 ) (SIZE medium ) pizza with (TOPPING banana ) (TOPPING peppers ) and i'll try mushrooms on (TOPPING there ) too but i don't like pepperoni okay that's it ) )
1042,(ORDER (PIZZAORDER this time i'll take a al (NUMBER jalapeños ) and sausage pizza with no pineapple ) )
1043,(ORDER (PIZZAORDER hi how are you i want to order jalapeño peppers and canadian bacon big meat along with a coffees ) )
1044,(ORDER i'd have (PIZZAORDER 1 largesse (NUMBER pizza ) (SIZE with ) meat lovers and (TOPPING bay ) (TOPPING lives ) and (TOPPING no ) (TOPPING peppers ) ) )
1045,(ORDER can i choose (PIZZAORDER (NUMBER a ) pizza with (TOPPING artichokes ) (TOPPING hams ) and (TOPPING duck ) ) )
1046,(ORDER (PIZZAORDER good evening fr tonight i'll take a large (NUMBER feta ) (SIZE cheese ) onion and (TOPPING pineapple ) pizza ) )
1047,(ORDER i'd love (PIZZAORDER to try out ten personal (NUMBER size ) (SIZE pizzas ) ) )
1048,(ORDER i am (PIZZAORDER trying o order (NUMBER a ) (SIZE medium-sized ) pesto and (TOPPING hot ) peppers (TOPPING pizza ) (TOPPING with ) no grilled chicken ) )
1049,(ORDER (PIZZAORDER please help me order (NUMBER a ) (SIZE extra ) large (TOPPING garlic ) (TOPPING powder ) (TOPPING red ) (TOPPING cabbage ) pie no light (NOT (TOPPING cheese ) ) ) )
1050,(ORDER (PIZZAORDER let's decide on a extralarge (NUMBER pan ) (SIZE pizza ) without tomatoes (TOPPING or ) buffalo sauce (TOPPING and ) a (TOPPING small ) ham with (NUMBER onions ) (SIZE pizza ) ) )
1051,(ORDER (PIZZAORDER my order is for (NUMBER 1 ) (SIZE medium-size ) pizza along with parmesan and (TOPPING some ) peppers onions ) )
1052,(ORDER i'm craving (PIZZAORDER one pizza (NUMBER with ) chard and (TOPPING cheeseburger ) and no pesto please ) )
1053,(ORDER id like (PIZZAORDER (NUMBER a ) pie with (STYLE all ) (TOPPING the ) (TOPPING veggies ) and a lot (STYLE of ) cheese but hold pesto please ) )
1054,(ORDER i want (PIZZAORDER to try (NUMBER 1 ) (SIZE medium-sized ) pie along with alfredo chicken (TOPPING gorgonzola ) (TOPPING but ) hold tuna ) )
1055,(ORDER i'd love (PIZZAORDER to try out a pizza (NUMBER and ) make sure there's extra parmesan on it (QUANTITY and ) (TOPPING onions ) on there also but definitely no sundries tomatoes thanks a lot ) )
1056,(ORDER can i choose (PIZZAORDER (NUMBER a ) (SIZE lunch ) (STYLE big ) meat pizza with (TOPPING feta ) and (TOPPING leave ) off the (NOT (TOPPING peppers ) ) ) )
1057,(ORDER i would (PIZZAORDER love to get (NUMBER a ) me pizza with (TOPPING ricotta ) (TOPPING cheese ) and (TOPPING garlic ) but with no (NOT (TOPPING ham ) ) ) )
1058,(ORDER please give (PIZZAORDER me (NUMBER a ) al pizza with (TOPPING parmesan ) and tofu and a large pizza with pepperoni and sausage ) )
1059,(ORDER i (PIZZAORDER think i'll have a pie (NUMBER with ) al size along with lettuce and (TOPPING hummus ) but no prawns ) )
1060,(ORDER (PIZZAORDER hello today i'd like to order 3 sprite (NUMBER and ) (DRINKTYPE a ) coke (NUMBER along ) (DRINKTYPE with five ) large (NUMBER fantasy ) ) )
1061,(ORDER i (PIZZAORDER am going to need you to order me (NUMBER a ) (SIZE medium ) (TOPPING big ) mat pizza sweet potatoes only no (NOT (TOPPING balsamic ) glaze ) ) )
1062,(ORDER i prefer to (PIZZAORDER have (NUMBER a ) (SIZE small ) pizza including sauted spinach (TOPPING additional ) cheese (TOPPING olives ) ) )
1063,(ORDER i need (PIZZAORDER you to begin an order for (NUMBER a ) (SIZE extra ) late pizza with (TOPPING capers ) and poppy seeds and combination please ) )
1064,(ORDER i would (PIZZAORDER (NUMBER like ) you to order me ten (NUMBER pepsi ) (SIZE six ) (SIZE large-size ) cokes and six large-size (NUMBER fantasy ) ) )
1065,(ORDER i'lltry 11 (PIZZAORDER personal pies (NUMBER with ) (SIZE sausage ) bacon but (TOPPING no ) (TOPPING a ) tiny bit f (SIZE cheese ) ) )
1066,(ORDER (PIZZAORDER i'd like to stick with fifteen medium-sized (SIZE pizzas ) both with parmesan pineapple and pesto ) )
1067,(ORDER (PIZZAORDER pace my order for (NUMBER a ) (STYLE gluten-free ) rust pizza topped with bacon and ground beef ) )
1068,(ORDER (PIZZAORDER today i just need (NUMBER a ) (SIZE large ) pie with (TOPPING green ) (TOPPING pepper ) and (TOPPING margarita ) and no (NOT (TOPPING parsley ) ) ) )
1069,(ORDER i would (PIZZAORDER like you to order me (NUMBER a ) (SIZE medium-sized ) veggie (STYLE pizza ) one large (NUMBER chair ) (SIZE tea ) (DRINKTYPE latte and ) one large (NUMBER coke ) ) )
1070,(ORDER please order (PIZZAORDER 9 garlic powder and (TOPPING green ) (TOPPING pepper ) pizza i don't want any mushrooms on (NOT (TOPPING it ) and i'd like it personal ) ) )
1071,(ORDER i have (PIZZAORDER (NUMBER a ) pie with (TOPPING vegan ) (TOPPING pepperoni ) and (TOPPING combination ) also add some (STYLE a ) little bit (TOPPING black ) beans please ) )
1072,(ORDER i'll go (PIZZAORDER with a personal (NUMBER red ) (SIZE cabbage ) (TOPPING and ) (TOPPING broccoli ) pie (TOPPING with ) footing cheese ) )
1073,(ORDER (PIZZAORDER for today i just want (SIZE a ) (SIZE medium-sie ) pie with lw fat cheese supreme (TOPPING and ) (TOPPING no ) pineapple please ) )
1074,(ORDER i want (PIZZAORDER you to put in an order for (NUMBER 7 ) (SIZE medium-size ) pizzas with pickled onions (TOPPING and ) (TOPPING lemon ) zest ) )
1075,(ORDER (PIZZAORDER i i'd like get medium (NUMBER one ) (SIZE pizza ) with a drizzle cumin and tuna (TOPPING and ) (TOPPING two ) almond (TOPPING milk ) ) )
1076,(ORDER (PIZZAORDER i'd like to try 11 lage-size (NUMBER Bubble ) ea one (SIZE medium ) coke two lage-size (NUMBER sprites ) (SIZE and ) (DRINKTYPE three ) lage-size ice (SIZE teas ) ) )
1077,(ORDER (PIZZAORDER put in the order for (NUMBER 1 ) (SIZE medium-sized ) pizza with green olives (TOPPING black ) beans (TOPPING and ) olives please ) )
1078,(ORDER i (PIZZAORDER am going to need (NUMBER a ) (SIZE lunch ) pie with (TOPPING all ) the (TOPPING meats ) and (TOPPING salami ) with no peppers ) )
1079,(ORDER (PIZZAORDER (NUMBER nine ) (SIZE extra ) large pizzas with (TOPPING pepper ) and (TOPPING alfredo ) chicken ) )
