id,tops,order
999,(ORDER i prefer (PIZZAORDER to have (NUMBER a ) (STYLE med ) veggies lover door pizza with pineapples and pepperonis ) ),i prefer to have a med veggies lover door pizza with pineapples and pepperonis
1000,(ORDER get (PIZZAORDER fourteen (NUMBER peronal ) (STYLE meat ) (STYLE lovers ) jalapenos (TOPPING pizzas ) ) ),get fourteen peronal meat lovers jalapenos pizzas
1001,(ORDER i want (PIZZAORDER to finalize with a (SIZE medium-sized ) (SIZE mushy ) peas stuffed crust pie with (STYLE no ) green bell peppers ) ),i want to finalize with a medium-sized mushy peas stuffed crust pie with no green bell peppers
1002,(ORDER (PIZZAORDER do me (NUMBER a ) favor and pleae put up a (NUMBER lunch ) (SIZE size ) pizza with light on the trffle oil deep (TOPPING dish ) and pesto ) ),do me a favor and pleae put up a lunch size pizza with light on the trffle oil deep dish and pesto
1003,(ORDER (PIZZAORDER elven lare-size additional yellow (SIZE peppers ) additional pepperoni pizzas (TOPPING please ) ) ),elven lare-size additional yellow peppers additional pepperoni pizzas please
1004,(ORDER please may (PIZZAORDER i have (NUMBER a ) (SIZE extra ) large (TOPPING arugula ) pan pie with no shrimp ) ),please may i have a extra large arugula pan pie with no shrimp
1005,(ORDER (PIZZAORDER i've decided to order one large (NUMBER leeks ) (SIZE pizza ) with lemon zest and (QUANTITY roasted ) eggplant and two (TOPPING large ) Espresso ) ),i've decided to order one large leeks pizza with lemon zest and roasted eggplant and two large Espresso
1006,(ORDER (PIZZAORDER please cani have a (NUMBER olives ) (TOPPING and ) pepper (TOPPING pizza ) no onions ) ),please cani have a olives and pepper pizza no onions
1007,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium-sized ) pizzas with roasted red (TOPPING peppers ) gorgonzola (TOPPING and ) onions ) ),two medium-sized pizzas with roasted red peppers gorgonzola and onions
1008,(ORDER (DRINKORDER can you get me (NUMBER 6 ) (TOPPING Apple ) juice (NUMBER a ) (DRINKTYPE coke ) and (NUMBER five ) (SIZE mdium-sized ) (NUMBER fantas ) ) ),can you get me 6 Apple juice a coke and five mdium-sized fantas
1009,(ORDER (PIZZAORDER hi how are you i have an order for (NUMBER a ) (SIZE personal ) size pizza for the (TOPPING toppings ) (TOPPING hi ) how are you i have an order for ricotta cheese banana pepper ) ),hi how are you i have an order for a personal size pizza for the toppings hi how are you i have an order for ricotta cheese banana pepper and onions thanks
1010,(ORDER can i try (PIZZAORDER (NUMBER a ) xl pie added with (TOPPING pesto ) (TOPPING sauce ) and (TOPPING somes ) green bell pepers supreme ) ),can i try a xl pie added with pesto sauce and somes green bell pepers supreme
1011,(ORDER i'd appreiate (PIZZAORDER a pie with artichokes (NUMBER broccoli ) without onions ) ),i'd appreiate a pie with artichokes broccoli without onions
1012,(ORDER (PIZZAORDER i'll have eiht largesize sausage and bbqchicken (SIZE pies ) ) ),i'll have eiht largesize sausage and bbqchicken pies
1013,(ORDER (PIZZAORDER can yousort out fifteen medium-sized (NUMBER pizzas ) (SIZE all ) with banana peppers and vegan (TOPPING pepperoni ) (TOPPING on ) them ) ),can yousort out fifteen medium-sized pizzas all with banana peppers and vegan pepperoni on them
1014,(ORDER (PIZZAORDER start an order for (NUMBER 5 ) pies in medium size along with (TOPPING roasted ) (TOPPING tomatoes ) and (TOPPING pineapple ) ) ),start an order for 5 pies in medium size along with roasted tomatoes and pineapple
1015,(ORDER i pefer (PIZZAORDER a (NUMBER small ) (SIZE bi ) (STYLE meat ) pizza with beef (TOPPING and ) gruyere (TOPPING cheee ) ) ),i pefer a small bi meat pizza with beef and gruyere cheee
1016,(ORDER could you (PIZZAORDER put in (NUMBER a ) xl mea lovers pizza with stuff (TOPPING crust ) (TOPPING and ) make (TOPPING it ) a (STYLE veggies ) (STYLE lover ) ) ),could you put in a xl mea lovers pizza with stuff crust and make it a veggies lover
1017,(ORDER (PIZZAORDER how about adding (NUMBER 13 ) (DRINKTYPE pineapple soda ) a (NUMBER coke ) (DRINKTYPE and ) (NUMBER a ) (DRINKTYPE diet sprite ) ) ),how about adding 13 pineapple soda a coke and a diet sprite
1018,(ORDER i would (PIZZAORDER like your (SIZE a ) (SIZE large-size ) pizza tonight with a little bit (SIZE parmasean ) let's see i also want red onion but i do not want any bacon thanks a ) ),i would like your a large-size pizza tonight with a little bit parmasean let's see i also want red onion but i do not want any bacon thanks a lot
1019,(ORDER i'm (PIZZAORDER opting for a large-size pie (SIZE with ) (SIZE ricotta ) cheese and spicy red (TOPPING sauce ) (TOPPING and ) no (TOPPING mushrooms ) ) ),i'm opting for a large-size pie with ricotta cheese and spicy red sauce and no mushrooms
1020,(ORDER i just need (PIZZAORDER (NUMBER a ) (SIZE lunch ) pizza with (TOPPING carrots ) lamb but no (NOT (TOPPING pesto ) ) ) ),i just need a lunch pizza with carrots lamb but no pesto
1021,(ORDER i would (PIZZAORDER love to get (NUMBER a ) (SIZE medium-sized ) big meat and (TOPPING sprinkle ) it (TOPPING with ) tofu ) ),i would love to get a medium-sized big meat and sprinkle it with tofu
1022,(ORDER i need (PIZZAORDER to place an order for 7 (SIZE extra ) large prawns and bacon pies (TOPPING with ) no a drizzle cheese (NOT (TOPPING please ) ) ) ),i need to place an order for 7 extra large prawns and bacon pies with no a drizzle cheese please
1023,(ORDER i wanted (PIZZAORDER to have (NUMBER a ) pizza along with sun-dried (NOT (TOPPING tomatoes ) and basil (TOPPING please ) avoid veggies (NOT (STYLE lover ) ) ) ),i wanted to have a pizza along with sun-dried tomatoes and basil please avoid veggies lover
1024,(ORDER (PIZZAORDER my order for today is for (NUMBER two ) (SIZE large ) (TOPPING pepperoni ) pizzas with peppers and double cheese a medium beef pizza with mushrooms and onions and (SIZE three ) small kombucha ) ),my order for today is for two large pepperoni pizzas with peppers and double cheese a medium beef pizza with mushrooms and onions and three small kombucha
1025,(ORDER (PIZZAORDER let me finalize with eigt (TOPPING pizzas ) in medium size along with beef gluten-free crust (TOPPING without ) (TOPPING olives ) ) ),let me finalize with eigt pizzas in medium size along with beef gluten-free crust without olives
1026,(ORDER i'd like to (PIZZAORDER stck with 7 large pizzas (NUMBER with ) (SIZE canadian ) bacon mushrooms (TOPPING and ) (TOPPING bacon ) and six (TOPPING large ) Cranberry (NUMBER juice ) ) ),i'd like to stck with 7 large pizzas with canadian bacon mushrooms and bacon and six large Cranberry juice
1027,(ORDER (PIZZAORDER lets make it eiht extra large (SIZE supreme ) (SIZE pizzas ) (STYLE with ) cherry tomatoes (TOPPING and ) green bell (TOPPING peppers ) ) ),lets make it eiht extra large supreme pizzas with cherry tomatoes and green bell peppers
1028,(ORDER (PIZZAORDER repeat my favorte order of 1 extr large pizza (SIZE with ) mint leeks and (TOPPING onions ) ) ),repeat my favorte order of 1 extr large pizza with mint leeks and onions
1029,(ORDER (PIZZAORDER hi good afternoon for tody i'd like five lunh pizzas (NUMBER with ) jalapenos and pickled onions (TOPPING along ) with a large pepperoni pizza ) ),hi good afternoon for tody i'd like five lunh pizzas with jalapenos and pickled onions along with a large pepperoni pizza
1030,(ORDER (PIZZAORDER how about placing an order for (NUMBER 4 ) (SIZE large ) pizzas with (TOPPING additional ) (TOPPING artihokes ) and (TOPPING light ) sauce along with 4 7 up and a coke ) ),how about placing an order for 4 large pizzas with additional artihokes and light sauce along with 4 7 up and a coke
1031,(ORDER i nly (PIZZAORDER want a (NUMBER xl ) pizza and bay (TOPPING leaves ) with canadian bacon (TOPPING peperoni ) ) ),i nly want a xl pizza and bay leaves with canadian bacon peperoni
1032,(ORDER i'm (PIZZAORDER going to order 2 large-size (SIZE pizzas ) (SIZE with ) extra hams and one (QUANTITY large ) (TOPPING pizza ) with (NUMBER low ) (SIZE fat ) hams ) ),i'm going to order 2 large-size pizzas with extra hams and one large pizza with low fat hams
1033,(ORDER (PIZZAORDER do a (TOPPING red ) (TOPPING onion ) and (TOPPING pepper ) pizza with no (NOT (TOPPING bacon ) on it ) ) ),do a red onion and pepper pizza with no bacon on it
1034,(ORDER (PIZZAORDER i'd like to stick with four small (NUMBER pies ) (SIZE with ) cumin bacon (TOPPING but ) (TOPPING no ) extra cheese ) ),i'd like to stick with four small pies with cumin bacon but no extra cheese
1035,(ORDER (PIZZAORDER i'll go for a total (NUMBER of ) a small (NUMBER pizza ) (SIZE with ) roasted eggplant (TOPPING mushy ) (TOPPING peas ) and ppper ) ),i'll go for a total of a small pizza with roasted eggplant mushy peas and ppper
1036,(ORDER i'm (PIZZAORDER thinking about having a large-size (SIZE pizza ) (SIZE and ) low fat cheese with (TOPPING tuna ) (TOPPING pineapple ) ) ),i'm thinking about having a large-size pizza and low fat cheese with tuna pineapple
1037,(ORDER please may (PIZZAORDER i have (NUMBER 1 ) ligh on the (SIZE large ) pizza with (TOPPING yellow ) (TOPPING peppers ) and griled chicken with (TOPPING ligh ) on the cheese ) ),please may i have 1 ligh on the large pizza with yellow peppers and griled chicken with ligh on the cheese
1038,(ORDER i need (PIZZAORDER to get (NUMBER a ) (SIZE medium ) pizza with a (STYLE little ) (QUANTITY bit ) (STYLE green ) bell (TOPPING peppers ) and chery (TOPPING tomatoes ) (TOPPING and ) no bacon (NOT (TOPPING please ) ) ) ),i need to get a medium pizza with a little bit green bell peppers and chery tomatoes and no bacon please
1039,(ORDER i would (PIZZAORDER take (NUMBER a ) (SIZE medium ) pizza with vegetarin except (TOPPING hamburger ) and spnach (NUMBER a ) (NUMBER large ) (NUMBER coke ) (SIZE and ) (DRINKTYPE a ) large (SIZE diet ) (SIZE coke ) ) ),i would take a medium pizza with vegetarin except hamburger and spnach a large coke and a large diet coke
1040,(ORDER (PIZZAORDER please give me pizza which is (SIZE large ) (TOPPING including ) bacon a bunch of (TOPPING cheese ) (TOPPING chicken ) ) ),please give me pizza which is large including bacon a bunch of cheese chicken
1041,(ORDER hi tonight i (PIZZAORDER want (NUMBER 1 ) (SIZE medium ) pizza with (TOPPING banana ) (TOPPING peppers ) and i'll try mushrooms on (TOPPING there ) too but i don't like pepperoni okay that's it ) ),hi tonight i want 1 medium pizza with banana peppers and i'll try mushrooms on there too but i don't like pepperoni okay that's it
1042,"(ORDER (PIZZAORDER this time, i'll take a xl jalpenos (NUMBER and ) sausage pizza with no pineapple ) )","this time, i'll take a xl jalpenos and sausage pizza with no pineapple"
1043,(ORDER (PIZZAORDER hi how are you i want to order jalepeno peppers and canadian bacon big meat along with a coffees ) ),hi how are you i want to order jalepeno peppers and canadian bacon big meat along with a coffees
1044,(ORDER i'd have (PIZZAORDER 1 largesize (NUMBER pizza ) (SIZE with ) meat lovers and bay (STYLE leves ) (TOPPING and ) no (TOPPING peppers ) ) ),i'd have 1 largesize pizza with meat lovers and bay leves and no peppers
1045,(ORDER can i choose (PIZZAORDER (NUMBER a ) pizza with (TOPPING artichokes ) (TOPPING hams ) and (TOPPING duck ) ) ),can i choose a pizza with artichokes hams and duck
1046,(ORDER (PIZZAORDER good evening fr tonight i'll take a large (NUMBER feta ) (SIZE ceese ) onion and (TOPPING pineapple ) (TOPPING pizza ) ) ),good evening fr tonight i'll take a large feta ceese onion and pineapple pizza
1047,(ORDER i'd love (PIZZAORDER to try out ten persoal (NUMBER size ) pizzas ) ),i'd love to try out ten persoal size pizzas
1048,(ORDER i am (PIZZAORDER trying o order (NUMBER a ) (SIZE medium-sized ) pesto and (TOPPING hot ) peppers (TOPPING pizza ) (TOPPING with ) no grilled chicken ) ),i am trying o order a medium-sized pesto and hot peppers pizza with no grilled chicken
1049,(ORDER please help me (PIZZAORDER order (NUMBER a ) (SIZE extra ) large (TOPPING garlic ) (TOPPING powder ) (TOPPING red ) (TOPPING cabage ) pie no light (NOT (TOPPING cheese ) ) ) ),please help me order a extra large garlic powder red cabage pie no light cheese
1050,(ORDER (PIZZAORDER let's decide on a extralarge (NUMBER pan ) (SIZE pizza ) without tomatoes or bufalo sauce (TOPPING and ) a small ham with onions pizza ) ),let's decide on a extralarge pan pizza without tomatoes or bufalo sauce and a small ham with onions pizza
1051,(ORDER (PIZZAORDER my order is for (NUMBER 1 ) (SIZE medium-size ) pizza along with pamesan and some (TOPPING peppers ) onions ) ),my order is for 1 medium-size pizza along with pamesan and some peppers onions
1052,(ORDER i'm craving (PIZZAORDER one pizza (NUMBER with ) chard and (TOPPING cheesebuger ) and (TOPPING no ) (TOPPING pesto ) please ) ),i'm craving one pizza with chard and cheesebuger and no pesto please
1053,(ORDER id like (PIZZAORDER (NUMBER a ) pie with (STYLE all ) (TOPPING the ) (TOPPING veggies ) and a lot (STYLE of ) cheese but hold pesto please ) ),id like a pie with all the veggies and a lot of cheese but hold pesto please
1054,(ORDER i want (PIZZAORDER to try (NUMBER 1 ) (SIZE medium-sized ) pie along with alfredo chicken (TOPPING gorgonzola ) (TOPPING but ) hold tuna ) ),i want to try 1 medium-sized pie along with alfredo chicken gorgonzola but hold tuna
1055,(ORDER i'd love (PIZZAORDER to try out a pizza (NUMBER and ) make sure there's extra parmasean on it (SIZE and ) onions on there also but definitely no sun-dried tomatoes thanks a lot ) ),i'd love to try out a pizza and make sure there's extra parmasean on it and onions on there also but definitely no sun-dried tomatoes thanks a lot
1056,(ORDER can i chooe (PIZZAORDER a (NUMBER lunch ) (SIZE big ) (STYLE meat ) pizza with feta (TOPPING and ) leave off the peppers ) ),can i chooe a lunch big meat pizza with feta and leave off the peppers
1057,(ORDER i would (PIZZAORDER love to get (NUMBER a ) (STYLE med ) pizza with (TOPPING ricotta ) (TOPPING cheese ) and (TOPPING garlic ) but with no (NOT (TOPPING ham ) ) ) ),i would love to get a med pizza with ricotta cheese and garlic but with no ham
1058,(ORDER please give (PIZZAORDER me (NUMBER a ) xl pizza with (TOPPING parmesan ) and tofu and a large pizza with pepperoni and sausage ) ),please give me a xl pizza with parmesan and tofu and a large pizza with pepperoni and sausage
1059,(ORDER i (PIZZAORDER think i'll have a pie (NUMBER with ) xl size along with lettuce and (TOPPING hummus ) but no prawns ) ),i think i'll have a pie with xl size along with lettuce and hummus but no prawns
1060,(ORDER (PIZZAORDER hello today i'd like to order 3 sprite (NUMBER and ) (DRINKTYPE a ) coke (NUMBER along ) (DRINKTYPE with five ) large (NUMBER fantas ) ) ),hello today i'd like to order 3 sprite and a coke along with five large fantas
1061,(ORDER i (PIZZAORDER am going to need you to order me (NUMBER a ) (SIZE medium ) (TOPPING big ) mat pizza sweet potatoes only no (NOT (TOPPING balsamic ) glaze ) ) ),i am going to need you to order me a medium big mat pizza sweet potatoes only no balsamic glaze
1062,(ORDER i prefer to (PIZZAORDER have (NUMBER a ) (SIZE small ) pizza including sauteed spinach additional (TOPPING cheese ) olives ) ),i prefer to have a small pizza including sauteed spinach additional cheese olives
1063,(ORDER i need (PIZZAORDER you to begin an order for (NUMBER a ) (SIZE extra ) lage pizza with capers (TOPPING and ) poppy seeds and combintion please ) ),i need you to begin an order for a extra lage pizza with capers and poppy seeds and combintion please
1064,(ORDER i would (PIZZAORDER like you to order me ten pepsis (NUMBER six ) (SIZE large-size ) cokes and six large-size (NUMBER fantas ) ) ),i would like you to order me ten pepsis six large-size cokes and six large-size fantas
1065,(ORDER i'lltry 11 (PIZZAORDER peronal pies (NUMBER with ) sausage bacon but no (TOPPING a ) (TOPPING tiny ) bit f cheese ) ),i'lltry 11 peronal pies with sausage bacon but no a tiny bit f cheese
1066,(ORDER i'd like (PIZZAORDER to stick with fiteen medium-sized pizzas both with parmasean pinepple and pesto ) ),i'd like to stick with fiteen medium-sized pizzas both with parmasean pinepple and pesto
1067,(ORDER (PIZZAORDER pace my order for (NUMBER a ) (STYLE gluten-free ) rust pizza topped with bacon and ground beef ) ),pace my order for a gluten-free rust pizza topped with bacon and ground beef
1068,(ORDER (PIZZAORDER today i just need (NUMBER a ) (SIZE large ) pie with (TOPPING green ) (TOPPING pepper ) and (TOPPING margarita ) and no (NOT (TOPPING parsley ) ) ) ),today i just need a large pie with green pepper and margarita and no parsley
1069,(ORDER i would (PIZZAORDER like you to order me (NUMBER a ) (SIZE medium-sized ) vegie pizza one large Chai (NUMBER tea ) (SIZE latte ) and one large coke ) ),i would like you to order me a medium-sized vegie pizza one large Chai tea latte and one large coke
1070,(ORDER please order (PIZZAORDER 9 garlic powder and (TOPPING green ) (TOPPING pepper ) pizza i don't want any mushrooms on (NOT (TOPPING it ) and i'd like it personal ) ) ),please order 9 garlic powder and green pepper pizza i don't want any mushrooms on it and i'd like it personal
1071,(ORDER i have (PIZZAORDER (NUMBER a ) pie with (TOPPING vegan ) (TOPPING pepperoni ) and (TOPPING combination ) also add some (STYLE a ) little bit (TOPPING black ) beans please ) ),i have a pie with vegan pepperoni and combination also add some a little bit black beans please
1072,(ORDER i'll go (PIZZAORDER with a personal (NUMBER red ) (SIZE cabbage ) (TOPPING and ) broccoli pie (TOPPING with ) fontina cheese ) ),i'll go with a personal red cabbage and broccoli pie with fontina cheese
1073,(ORDER (PIZZAORDER for today i just want (SIZE a ) (SIZE medium-sie ) pie with lw fat cheese supreme (TOPPING and ) (TOPPING no ) pineapple please ) ),for today i just want a medium-sie pie with lw fat cheese supreme and no pineapple please
1074,(ORDER i want (PIZZAORDER yu to put in an order for (NUMBER 7 ) (SIZE medium-size ) pizzas with pickled onions (TOPPING and ) (TOPPING lemon ) zst ) ),i want yu to put in an order for 7 medium-size pizzas with pickled onions and lemon zst
1075,(ORDER i 'd liketo (PIZZAORDER get medium (NUMBER one ) (SIZE pizza ) with a drizzle cumin and tuna (TOPPING and ) two almond milk ) ),i 'd liketo get medium one pizza with a drizzle cumin and tuna and two almond milk
1076,(ORDER (PIZZAORDER i'd like to try 11 lage-size (NUMBER Bubble ) ea one (SIZE medium ) coke two lage-size (NUMBER sprites ) (SIZE and ) (DRINKTYPE three ) lage-size ice (SIZE teas ) ) ),i'd like to try 11 lage-size Bubble ea one medium coke two lage-size sprites and three lage-size ice teas
1077,(ORDER (PIZZAORDER put in the order for (NUMBER 1 ) (SIZE medium-sized ) pizza with green olives (TOPPING black ) beans (TOPPING and ) olives please ) ),put in the order for 1 medium-sized pizza with green olives black beans and olives please
1078,(ORDER (PIZZAORDER i am going to need (NUMBER a ) lunh pie with all (TOPPING the ) meats (TOPPING and ) salami (TOPPING with ) no peppers ) ),i am going to need a lunh pie with all the meats and salami with no peppers
1079,(ORDER (PIZZAORDER (NUMBER nine ) (SIZE extra ) large pizzas with (TOPPING pepper ) and (TOPPING alfredo ) chicken ) ),nine extra large pizzas with pepper and alfredo chicken
1080,(ORDER repeat my (PIZZAORDER (NUMBER a ) meium roasted (TOPPING tomatoes ) pizza (TOPPING with ) liht (TOPPING vegan ) pepperoni (TOPPING and ) (TOPPING no ) olives ) ),repeat my a meium roasted tomatoes pizza with liht vegan pepperoni and no olives
1081,(ORDER lets get (PIZZAORDER (NUMBER one ) (SIZE medium-sized ) pizza with leeks and (TOPPING roasted ) eggplant and (TOPPING a ) medium unsweetened ice teas ) ),lets get one medium-sized pizza with leeks and roasted eggplant and a medium unsweetened ice teas
1082,(ORDER (PIZZAORDER let me prefr a (NUMBER personal ) (SIZE pie ) along with onion (TOPPING tomato ) (TOPPING sauce ) (TOPPING but ) hold pesto ) ),let me prefr a personal pie along with onion tomato sauce but hold pesto
1083,(ORDER i am (PIZZAORDER going to need ou to order me 1 xl pizza with a bunch of (TOPPING mushy ) peas and 1 medium (SIZE pizza ) with sausage ) ),i am going to need ou to order me 1 xl pizza with a bunch of mushy peas and 1 medium pizza with sausage
1084,(ORDER let me (PIZZAORDER get (NUMBER a ) (SIZE large ) pie with (TOPPING chorizo ) (TOPPING bbq ) chicken and (TOPPING posciutto ) ) ),let me get a large pie with chorizo bbq chicken and posciutto
1085,(ORDER i'll (PIZZAORDER go ahead and order a pizza (NUMBER with ) tomato sauce (TOPPING beef ) (TOPPING and ) (TOPPING alfredo ) chicken (TOPPING please ) ) ),i'll go ahead and order a pizza with tomato sauce beef and alfredo chicken please
1086,(ORDER (PIZZAORDER i've decided on a extra (SIZE large ) (SIZE pizza ) with green olives (TOPPING and ) (TOPPING mushroom ) but (TOPPING hold ) ham please ) ),i've decided on a extra large pizza with green olives and mushroom but hold ham please
1087,(ORDER i'm having (PIZZAORDER a party (NUMBER in ) a few hours and i need a large-size (NUMBER pie ) (SIZE and ) no tomato sauce please ) ),i'm having a party in a few hours and i need a large-size pie and no tomato sauce please
1088,(ORDER begin an (PIZZAORDER oder for tirteen personal sausage (QUANTITY and ) (TOPPING goat ) cheese pies (TOPPING with ) peppers ) ),begin an oder for tirteen personal sausage and goat cheese pies with peppers
1089,(ORDER i eed an (PIZZAORDER order of 15 (NUMBER large ) (SIZE pies ) with suprme (TOPPING and ) ground beef (TOPPING onions ) ) ),i eed an order of 15 large pies with suprme and ground beef onions
1090,(ORDER i (PIZZAORDER guess i'll get a medium (NUMBER suffed ) (SIZE crust ) (STYLE pie ) with capers and duck ) ),i guess i'll get a medium suffed crust pie with capers and duck
1091,(ORDER could i opt (PIZZAORDER for (NUMBER a ) xl pizza and i want duble beef and pesto but no (NOT (TOPPING olives ) thanks ) ) ),could i opt for a xl pizza and i want duble beef and pesto but no olives thanks
1092,(ORDER (PIZZAORDER hi how are you i have an order for (NUMBER a ) (STYLE medim-sized ) all (SIZE the ) meats door pizza (TOPPING with ) sun-dried tomatoes and chrd ) ),hi how are you i have an order for a medim-sized all the meats door pizza with sun-dried tomatoes and chrd
1093,(ORDER (PIZZAORDER let's try a pie (NUMBER in ) mdium size with olives and hams (TOPPING but ) without (TOPPING buffalo ) sauce ) ),let's try a pie in mdium size with olives and hams but without buffalo sauce
1094,(ORDER i wanna (PIZZAORDER get (NUMBER 6 ) (STYLE medim ) pizzas with one (NUMBER pellegrino ) ) ),i wanna get 6 medim pizzas with one pellegrino
1095,(ORDER hey order (PIZZAORDER me (NUMBER thirteen ) luch pies with (TOPPING green ) (TOPPING peppers ) and salami but hold pesto ) ),hey order me thirteen luch pies with green peppers and salami but hold pesto
1096,(ORDER (PIZZAORDER put an order in for (NUMBER 1 ) pie with (TOPPING tomatoe ) sauce (TOPPING and ) cherry (TOPPING tomatoes ) (TOPPING no ) bbq (NOT (TOPPING sauce ) ) ) ),put an order in for 1 pie with tomatoe sauce and cherry tomatoes no bbq sauce
1097,(ORDER want 8 (PIZZAORDER pies along with (TOPPING ground ) (TOPPING beef ) and (TOPPING jalepeno ) peppers and without (NOT (TOPPING pepperoni ) ) ) ),want 8 pies along with ground beef and jalepeno peppers and without pepperoni
1098,(ORDER (PIZZAORDER i am trying to order 1 xl swet corn pizza 1 xl cheese pizza and 1 xl pan pizza without bell (NOT (TOPPING peppers ) ) ) ),i am trying to order 1 xl swet corn pizza 1 xl cheese pizza and 1 xl pan pizza without bell peppers
1099,(ORDER i'd like to (PIZZAORDER stick with a large-sze (NUMBER pie ) (SIZE with ) jalapenos and pine apple but avoid adding sausage please ) ),i'd like to stick with a large-sze pie with jalapenos and pine apple but avoid adding sausage please
1100,(ORDER (PIZZAORDER (NUMBER a ) pizza that (NUMBER is ) (SIZE medium-sized ) with meatball and a medium (NUMBER pineapple ) ) ),a pizza that is medium-sized with meatball and a medium pineapple
1101,(ORDER (PIZZAORDER do me (NUMBER a ) favor and (TOPPING make ) me 15 (TOPPING basil ) and (TOPPING bbq ) sauce pizzas no greenolives ) ),do me a favor and make me 15 basil and bbq sauce pizzas no greenolives
1102,(ORDER (PIZZAORDER today i jus need 10 vggies lover red (TOPPING onion ) (TOPPING pies ) with no bacon ) ),today i jus need 10 vggies lover red onion pies with no bacon
1103,(ORDER could you give (PIZZAORDER me (NUMBER a ) (SIZE medium ) (TOPPING balsamic ) (TOPPING gaze ) pizza with more (TOPPING cheese ) and no olives ) ),could you give me a medium balsamic gaze pizza with more cheese and no olives
1104,(ORDER (PIZZAORDER let'stry a new york (NUMBER stle ) (STYLE large ) pizza but hold (QUANTITY the ) anchovies ) ),let'stry a new york stle large pizza but hold the anchovies
1105,(ORDER have 12 (PIZZAORDER (SIZE large ) Cappuccinos one medium coke (NUMBER two ) (DRINKTYPE large sprites ) (NUMBER and ) (SIZE three ) (DRINKTYPE large ) ice (NUMBER teas ) ) ),have 12 large Cappuccinos one medium coke two large sprites and three large ice teas
1106,(ORDER i'm (PIZZAORDER going to order a pizza in xl size along (SIZE with ) hummus cherry tomatoes but (TOPPING without ) (TOPPING bacon ) ) ),i'm going to order a pizza in xl size along with hummus cherry tomatoes but without bacon
1107,(ORDER i want (PIZZAORDER to order (NUMBER a ) (SIZE medium-sized ) pizza with cheeseburger and (TOPPING a ) cherry (NUMBER coke ) ) ),i want to order a medium-sized pizza with cheeseburger and a cherry coke
1108,(ORDER i needyou (PIZZAORDER to order me 1 (NUMBER large ) (SIZE pizza ) with extra (QUANTITY mint ) (TOPPING chicken ) (TOPPING and ) no tuna ) ),i needyou to order me 1 large pizza with extra mint chicken and no tuna
1109,(ORDER i wish (PIZZAORDER to hae two (NUMBER xl ) balsamic glaze (TOPPING and ) chorizo (TOPPING pies ) without sun-dried omatoes ) ),i wish to hae two xl balsamic glaze and chorizo pies without sun-dried omatoes
1110,(ORDER i like (PIZZAORDER to (NUMBER 15 ) (SIZE medium-sized ) pies with chicago style (QUANTITY and ) (TOPPING smoked ) salmon onions ) ),i like to 15 medium-sized pies with chicago style and smoked salmon onions
1111,(ORDER i wan (PIZZAORDER you to put in an order for (NUMBER a ) xl kimchi pizza with black (TOPPING olive ) (TOPPING and ) no cheddar (NOT (TOPPING ceese ) ) ) ),i wan you to put in an order for a xl kimchi pizza with black olive and no cheddar ceese
1112,(ORDER i'm oing (PIZZAORDER to order a lunch pizza (NUMBER with ) (SIZE cheeseburger ) and jalepeno (TOPPING peppers ) without (TOPPING peppers ) ) ),i'm oing to order a lunch pizza with cheeseburger and jalepeno peppers without peppers
1113,(ORDER i'd appreciate (PIZZAORDER a crunchy (NUMBER vegetarian ) pizza with fresh truffleoil and green pepper ) ),i'd appreciate a crunchy vegetarian pizza with fresh truffleoil and green pepper
1114,(ORDER i'mhaving a (PIZZAORDER bunch of people (NUMBER over ) tonight so i need a medium-size pie and (NUMBER put ) (SIZE pepper ) and truffle oil on (TOPPING it ) and i guess ham (TOPPING also ) that's all ) ),i'mhaving a bunch of people over tonight so i need a medium-size pie and put pepper and truffle oil on it and i guess ham also that's all
1115,(ORDER id like (PIZZAORDER t order (NUMBER 1 ) (SIZE personal ) pie with canadian (TOPPING bacon ) and (TOPPING mushroom ) without any (NOT (TOPPING pesto ) please ) ) ),id like t order 1 personal pie with canadian bacon and mushroom without any pesto please
1116,(ORDER pu (PIZZAORDER an order in for (NUMBER a ) (SIZE medium-size ) pizza with hot pepers (TOPPING on ) it and also tuna but (TOPPING i ) don't like pesto thanks ) ),pu an order in for a medium-size pizza with hot pepers on it and also tuna but i don't like pesto thanks
1117,(ORDER (PIZZAORDER could you please get me (NUMBER seven ) pizzas make them both med i want leeks zucchini and pesto as well thanks a lot ) ),could you please get me seven pizzas make them both med i want leeks zucchini and pesto as well thanks a lot
1118,(ORDER i'm ready (PIZZAORDER to settle for a smal (NUMBER mushy ) peas and banan peppers pie (TOPPING hold ) the (TOPPING tuna ) ) ),i'm ready to settle for a smal mushy peas and banan peppers pie hold the tuna
1119,(ORDER i'llgo for (PIZZAORDER a total of (NUMBER a ) largesize fantas (NUMBER a ) (SIZE fanta ) and three pepsis (NUMBER please ) ) ),i'llgo for a total of a largesize fantas a fanta and three pepsis please
1120,(ORDER (PIZZAORDER place an order for (NUMBER a ) (SIZE large ) meican pizza with light (TOPPING on ) ceese and a small (NUMBER pepperoni ) (SIZE pizza ) ) ),place an order for a large meican pizza with light on ceese and a small pepperoni pizza
1121,(ORDER (PIZZAORDER make an order for (NUMBER a ) xl pizza with (TOPPING feta ) and (TOPPING prsley ) to go with two bottle of sprite ) ),make an order for a xl pizza with feta and prsley to go with two bottle of sprite
